,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B118,B119,B120,B121,B122,B123,B125,B126,B127,B128,B129,B130,B131,B132,B133,B134,B135,B136,B137,B138,B139,B140,B141,B142,B143,B144,B145,B146,B147,B148,B149,B150,B151,B152,B153,B154,B155,B156,B157,B158,B159,B160,B161,B162,B163,B164,B165,B166,B167,B168,B169,B170,B171,B172,B173,B174,B175,B176,B177,B178,B179,B180,B181,B182,B183,B184,B185,B186,B187,B188,B189,B190,B191,B192,B193,B194,B195,B196,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__TPD-58,s__TPD-58 sp.
ASV50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__TPD-58,s__TPD-58 sp.
ASV116,32,32,31,40,30,43,26,29,17,45,17,39,38,39,20,32,28,35,49,46,50,33,48,56,40,40,40,24,44,39,25,35,8,6,21,46,38,38,48,58,47,63,46,31,28,37,20,43,38,46,11,13,3,52,50,28,40,38,32,44,56,58,35,21,28,32,33,29,8,5,8,59,69,61,58,67,63,60,72,72,38,36,35,15,26,23,59,91,87,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter sp.
ASV117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter sp.
ASV118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter sp.
ASV119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter sp.
ASV120,21,23,22,32,22,32,25,34,20,29,23,35,23,29,20,28,28,32,43,23,31,28,54,30,45,43,39,23,29,28,28,25,0,12,7,30,40,28,42,35,41,55,40,33,30,29,38,39,51,40,9,18,0,49,48,39,41,30,40,36,36,43,26,28,19,38,34,40,12,4,7,39,51,46,50,42,50,52,57,47,38,45,19,19,30,35,65,77,56,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__Ilumatobacter sp.
ASV147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,4,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV159,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV167,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,5,5,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,10,0,0,0,10,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__Acidimicrobiaceae,g__Acidiferrimicrobium,s__Acidiferrimicrobium sp.
ASV211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV217,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV220,0,14,18,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,8,0,0,7,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,5,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV223,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV228,62,45,61,0,0,0,0,0,0,44,73,39,0,25,0,26,46,27,51,41,0,0,32,72,29,39,34,33,31,27,0,53,0,0,0,0,32,34,45,0,30,31,0,0,37,24,47,0,50,42,0,0,0,37,47,0,0,27,35,85,67,0,25,36,0,22,0,42,19,0,0,79,0,0,0,0,49,49,60,46,62,29,34,34,19,0,16,42,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV232,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV236,26,0,0,28,0,13,0,14,17,0,0,19,0,0,0,0,11,0,33,6,21,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,13,20,12,0,0,0,16,15,0,5,0,0,20,0,0,0,8,19,0,26,0,17,4,0,6,0,0,0,0,0,13,20,0,12,0,0,21,26,0,0,11,14,0,0,0,0,11,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV239,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium fortuitum
ASV241,0,0,0,57,50,30,53,64,46,0,0,0,71,0,50,0,0,0,0,0,44,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,52,0,0,52,52,0,0,0,84,0,0,0,21,0,0,0,39,41,0,0,0,0,77,0,0,22,0,53,0,0,5,0,0,54,80,31,52,0,0,0,0,0,0,0,0,0,0,0,0,36,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp.
ASV243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus sp.
ASV244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus coprophilus
ASV246,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus coprophilus
ASV249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria,p__Actinomycetota,c__Actinobacteria,o__Mycobacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus tukisamuensis
